python : import time: self [us] | cumulative | imported package
No linha:1 caractere:1
+ python -X importtime -c "import src.besx.entrypoints.dashboard.stream ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (import time: se...mported package:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
import time:       799 |       2985 |                               streamlit.runtime.scriptrunner.script_cache
import time:      3458 |       3458 |                                 streamlit.runtime.state.common
import time:      3428 |       3428 |                                     streamlit.elements.lib.utils
import time:      1237 |       1237 |                                     streamlit.runtime.state.safe_session_state
import time:      1732 |       1732 |                                       streamlit.runtime.state.query_params
import time:      1106 |       1106 |                                       streamlit.runtime.stats
import time:      8830 |      11667 |                                     streamlit.runtime.state.session_state
import time:      2879 |      19210 |                                   streamlit.runtime.state.session_state_proxy
import time:      1520 |      20729 |                                 streamlit.runtime.state.query_params_proxy
import time:      1011 |       1011 |                                 streamlit.runtime.state.widgets
import time:      1087 |      26284 |                               streamlit.runtime.state
import time:      1912 |      34482 |                             streamlit.runtime.scriptrunner.script_runner
import time:       871 |      35353 |                           streamlit.runtime.scriptrunner
import time:      1347 |      36699 |                         streamlit.elements.spinner
import time:      6776 |       6776 |                         streamlit.runtime.caching.cached_message_replay
import time:      2096 |       2096 |                           streamlit.runtime.uploaded_file_manager
import time:      1711 |       3806 |                         streamlit.runtime.caching.hashing
import time:      1163 |      51445 |                       streamlit.runtime.caching.cache_utils
import time:      5216 |       5216 |                         streamlit.runtime.caching.storage.cache_storage_protocol
import time:       800 |       6015 |                       streamlit.runtime.caching.storage
import time:       861 |        861 |                             cachetools.keys
import time:      2744 |       3605 |                           cachetools
import time:      1202 |       4806 |                         
streamlit.runtime.caching.storage.in_memory_cache_storage_wrapper
import time:      1137 |       5942 |                       streamlit.runtime.caching.storage.dummy_cache_storage
import time:       817 |        817 |                       streamlit.time_util
import time:      1985 |      69663 |                     streamlit.runtime.caching.cache_data_api
import time:      1385 |       1385 |                     streamlit.runtime.caching.cache_resource_api
import time:       808 |        808 |                     streamlit.runtime.caching.legacy_cache_api
import time:       968 |      72823 |                   streamlit.runtime.caching
import time:      1077 |       1077 |                   streamlit.runtime.forward_msg_queue
import time:      1664 |       1664 |                   streamlit.runtime.fragment
import time:       825 |        825 |                           streamlit.watcher.folder_black_list
import time:      1806 |       1806 |                                   _queue
import time:       961 |       2766 |                                 queue
import time:       780 |       3546 |                               concurrent.futures.thread
import time:       813 |        813 |                               streamlit.watcher.util
import time:      1164 |       5522 |                             streamlit.watcher.polling_path_watcher
import time:       906 |       6427 |                           streamlit.watcher.path_watcher
import time:      1907 |       9159 |                         streamlit.watcher.local_sources_watcher
import time:       891 |      10050 |                       streamlit.watcher
import time:        59 |      10108 |                     streamlit.watcher.path_watcher
import time:      1922 |      12029 |                   streamlit.runtime.secrets
import time:      1893 |     114515 |                 streamlit.runtime.app_session
import time:      1154 |       1154 |                 streamlit.runtime.caching.storage.local_disk_cache_storage
import time:      1411 |       1411 |                   streamlit.runtime.media_file_storage
import time:      1514 |       2925 |                 streamlit.runtime.media_file_manager
import time:      2971 |       2971 |                   streamlit.runtime.session_manager
import time:      1276 |       4246 |                 streamlit.runtime.memory_session_storage
import time:      1908 |       1908 |                 streamlit.runtime.script_data
import time:      1198 |       1198 |                 streamlit.runtime.websocket_session_manager
import time:      4962 |     294296 |               streamlit.runtime.runtime
import time:       590 |     294885 |             streamlit.runtime
import time:        54 |     294939 |           streamlit.runtime.scriptrunner_utils
import time:        43 |     294981 |         streamlit.runtime.scriptrunner_utils.script_run_context
import time:       816 |     295797 |       streamlit.cursor
import time:      1329 |       1329 |       streamlit.elements.alert
import time:      5657 |       5657 |           streamlit.elements.lib.column_types
import time:      1044 |       1044 |           streamlit.elements.lib.dicttools
import time:      1926 |       8626 |         streamlit.elements.lib.column_config_utils
import time:       832 |        832 |         streamlit.elements.lib.event_utils
import time:      1223 |       1223 |         streamlit.elements.lib.form_utils
import time:       998 |        998 |         streamlit.elements.lib.pandas_styler_utils
import time:      1169 |       1169 |         streamlit.elements.lib.policies
import time:      2870 |      15716 |       streamlit.elements.arrow
import time:      1114 |       1114 |       streamlit.elements.balloons
import time:       918 |        918 |       streamlit.elements.bokeh_chart
import time:       807 |        807 |       streamlit.elements.code
import time:      2187 |       2187 |       streamlit.elements.deck_gl_json_chart
import time:      2972 |       2972 |       streamlit.elements.doc_string
import time:      1100 |       1100 |       streamlit.elements.empty
import time:      1199 |       1199 |       streamlit.elements.form
import time:      1449 |       1449 |       streamlit.elements.graphviz_chart
import time:      1524 |       1524 |       streamlit.elements.heading
import time:      1054 |       1054 |       streamlit.elements.html
import time:       885 |        885 |       streamlit.elements.iframe
import time:       993 |        993 |           streamlit.url_util
import time:      1464 |       2457 |         streamlit.elements.lib.image_utils
import time:       910 |       3366 |       streamlit.elements.image
import time:       854 |        854 |       streamlit.elements.json
import time:      1470 |       1470 |       streamlit.elements.layouts
import time:      1299 |       1299 |         streamlit.elements.lib.color_util
import time:      1531 |       2830 |       streamlit.elements.map
import time:      1171 |       1171 |       streamlit.elements.markdown
import time:       936 |        936 |         streamlit.elements.lib.subtitle_utils
import time:      1809 |       2744 |       streamlit.elements.media
import time:      2153 |       2153 |       streamlit.elements.metric
import time:       695 |        695 |         streamlit.elements.lib.streamlit_plotly_theme
import time:       642 |        642 |               _plotly_utils
import time:       797 |       1438 |             _plotly_utils.importers
import time:       959 |       2397 |           plotly
import time:      1069 |       3466 |         plotly.graph_objects
import time:      1035 |       1035 |           pkgutil
import time:      2158 |       3192 |         plotly.io
import time:      3796 |       3796 |               _decimal
import time:       679 |       4475 |             decimal
import time:       746 |        746 |             _plotly_utils.optional_imports
import time:      1827 |       1827 |               PIL._version
import time:      3987 |       5814 |             _plotly_utils.basevalidators
import time:      1064 |      12098 |           _plotly_utils.utils
import time:       935 |        935 |           _plotly_utils.exceptions
import time:       599 |        599 |           plotly.optional_imports
import time:       785 |        785 |           plotly.shapeannotation
import time:      1424 |       1424 |           plotly._subplots
import time:      3337 |      19176 |         plotly.basedatatypes
import time:       645 |        645 |         plotly.validator_cache
import time:    193850 |     221022 |       streamlit.elements.plotly_chart
import time:       969 |        969 |       streamlit.elements.progress
import time:       834 |        834 |       streamlit.elements.pyplot
import time:       651 |        651 |       streamlit.elements.snow
import time:       556 |        556 |       streamlit.elements.text
import time:      1581 |       1581 |       streamlit.elements.toast
import time:      3338 |       3338 |         streamlit.elements.lib.built_in_chart_utils
import time:      3863 |       7200 |       streamlit.elements.vega_charts
import time:      1251 |       1251 |         streamlit.elements.widgets
import time:      1018 |       1018 |         streamlit.elements.lib.file_uploader_utils
import time:      3066 |       3066 |         streamlit.elements.widgets.file_uploader
import time:      2543 |       7876 |       streamlit.elements.widgets.audio_input
import time:      1533 |       1533 |           streamlit.navigation
import time:      1480 |       3013 |         streamlit.navigation.page
import time:      3595 |       6608 |       streamlit.elements.widgets.button
import time:      1185 |       1185 |         streamlit.elements.lib.options_selector_utils
import time:      2497 |       3681 |       streamlit.elements.widgets.button_group
import time:      2183 |       2183 |       streamlit.elements.widgets.camera_input
import time:      3342 |       3342 |       streamlit.elements.widgets.chat
import time:      1614 |       1614 |       streamlit.elements.widgets.checkbox
import time:      3334 |       3334 |       streamlit.elements.widgets.color_picker
import time:      2615 |       2615 |       streamlit.elements.widgets.data_editor
import time:       974 |        974 |       streamlit.elements.widgets.multiselect
import time:       605 |        605 |         streamlit.elements.lib.js_number
import time:      1980 |       2585 |       streamlit.elements.widgets.number_input
import time:      1678 |       1678 |       streamlit.elements.widgets.radio
import time:      1584 |       1584 |       streamlit.elements.widgets.select_slider
import time:      8488 |       8488 |       streamlit.elements.widgets.selectbox
import time:      3932 |       3932 |       streamlit.elements.widgets.slider
import time:      2627 |       2627 |       streamlit.elements.widgets.text_widgets
import time:      3967 |       3967 |       streamlit.elements.widgets.time_widgets
import time:      2612 |       2612 |       streamlit.elements.write
import time:      3363 |     641004 |     streamlit.delta_generator
import time:      1209 |       1209 |     streamlit.elements.lib.mutable_status_container
import time:      1200 |       1200 |     streamlit.elements.lib.dialog
import time:      1269 |       1269 |     streamlit.elements.dialog_decorator
import time:      1468 |       1468 |         streamlit.connections.base_connection
import time:       732 |        732 |           streamlit.connections.util
import time:      1310 |       2042 |         streamlit.connections.snowflake_connection
import time:      1822 |       1822 |         streamlit.connections.snowpark_connection
import time:      1805 |       1805 |         streamlit.connections.sql_connection
import time:      1132 |       8267 |       streamlit.connections
import time:      1832 |      10098 |     streamlit.runtime.connection_factory
import time:       875 |        875 |       streamlit.runtime.context_util
import time:      3068 |       3943 |     streamlit.runtime.context
