"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
69600,8,957.65535816263957,-112559.9999,0,0,0.19766365438540978
69900,13,957.65535816263957,-112559.9999,0,0,0.19766365438540978
70200,18,957.65535816263957,-113400,0,0,0.19766365438540978
70500,23,957.65535816263957,-113400,0,0,0.19766365438540978
70800,4,957.65535816263957,-113400,0,0,0.19766365438540978
71100,9,957.65535816263957,-111720,0,0,0.19766365438540978
71400,14,957.65535816263957,-111720,0,0,0.19766365438540978
71700,19,957.65535816263957,-111720,0,0,0.19766365438540978
72000,0,957.65535816263957,-113399.9999,0,0,0.19766365438540978
72300,5,957.65535816263957,-113399.9999,0,0,0.19766365438540978
72600,10,957.65535816263957,-113399.9999,0,0,0.19766365438540978
72900,15,957.65535816263957,-110880,0,0,0.19766365438540978
73200,20,957.65535816263957,-110880,0,0,0.19766365438540978
73500,1,957.65535816263957,-110880,0,0,0.19766365438540978
73800,6,957.65535816263957,-114240,0,0,0.19766365438540978
74100,11,957.65535816263957,-114240,0,0,0.19766365438540978
74400,16,957.65535816263957,-114240,0,0,0.19766365438540978
74700,21,957.65535816263957,51120.000050000002,1,42.704299926757813,0.19766365438540978
75000,2,961.85742045321945,51120.000050000002,1,42.517734527587891,0.2107821663338475
75300,7,964.85375077410663,51120.000050000002,1,42.385696411132813,0.22430804675026653
75600,12,967.84081847000289,50279.999969999997,1,41.560554504394531,0.23779201824055868
75900,17,970.75350312720275,50279.999969999997,1,41.43585205078125,0.2510213780852914
76200,22,973.67381983211237,50279.999969999997,1,41.311576843261719,0.26420360241593799
76500,3,976.5854161898294,47759.999969999997,1,39.124073028564453,0.27734637635261639
76800,8,979.29446387718519,47759.999969999997,1,39.015842437744141,0.28981639860720387
77100,13,981.65854248885546,47759.999969999997,1,38.921882629394531,0.3022296406671402
77400,18,982.26044166367433,51120.000050000002,1,41.634578704833984,0.31462297047138449
77700,23,982.97392483426313,51120.000050000002,1,41.604358673095703,0.32785005916664822
78000,4,983.61729841341037,51120.000050000002,1,41.577144622802734,0.34109731015017819
78300,9,984.26025219432393,48599.999969999997,1,39.501747131347656,0.35433590034387941
78600,14,984.81902208230122,48599.999969999997,1,39.479335784912109,0.36693607573097481
78900,19,985.42957719566857,48599.999969999997,1,39.454875946044922,0.37950685661794215
79200,0,986.03975500298134,49439.999969999997,1,40.111972808837891,0.39206985272004136
79500,5,986.69375964968265,49439.999969999997,1,40.085384368896484,0.4048346059950606
79800,10,987.35676219027698,49439.999969999997,1,40.058467864990234,0.41759811882664494
