"Time","Math1","Vm1:Measured voltage","Gain1","C-Script:2","C-Script:1","Integrator"
69000,22,982.94240459669356,-82960,-1,-105.49957275390625,0.40582612012684416
69300,3,981.27714891047651,-82960,-1,-105.67860412597656,0.37353556911673691
69600,8,979.59081618041569,-83120,-1,-106.064697265625,0.34119695962751001
69900,13,977.89307290683644,-88160,-1,-112.69125366210938,0.30874203932026384
70200,18,971.90683227803481,-86800,-1,-111.63621520996094,0.27428113909305374
70500,23,964.80710597565394,-86600,-1,-112.19859313964844,0.24003207494445661
70800,4,957.63510627790811,-88160,-1,-115.07514953613281,0.20562357946755255
71100,9,958.59960641710416,-86400,0,0,0.19743463595225719
71400,14,958.59960641710416,-85640,0,0,0.19743463595225719
71700,19,958.59960641710416,-85440,0,0,0.19743463595225719
72000,0,958.59960641710416,-85040,0,0,0.19743463595225719
72300,5,958.59960641710416,-85240,0,0,0.19743463595225719
72600,10,958.59960641710416,-82720,0,0,0.19743463595225719
72900,15,958.59960641710416,-82160,0,0,0.19743463595225719
73200,20,958.59960641710416,-82160,0,0,0.19743463595225719
73500,1,958.59960641710416,-83520,0,0,0.19743463595225719
73800,6,958.59960641710416,-81160,0,0,0.19743463595225719
74100,11,958.59960641710416,-80600,0,0,0.19743463595225719
74400,16,958.59960641710416,-80200,0,0,0.19743463595225719
74700,21,958.59960641710416,-78640,0,0,0.19743463595225719
75000,2,958.59960641710416,-77680,0,0,0.19743463595225719
75300,7,958.59960641710416,-77680,0,0,0.19743463595225719
75600,12,958.59960641710416,0,0,0,0.19743463595225719
75900,17,958.59960641710416,0,0,0,0.19743463595225719
76200,22,958.59960641710416,0,0,0,0.19743463595225719
76500,3,958.59960641710416,0,0,0,0.19743463595225719
76800,8,958.59960641710416,0,0,0,0.19743463595225719
77100,13,958.59960641710416,0,0,0,0.19743463595225719
77400,18,958.59960641710416,0,0,0,0.19743463595225719
77700,23,958.59960641710416,0,0,0,0.19743463595225719
78000,4,958.59960641710416,0,0,0,0.19743463595225719
78300,9,958.59960641710416,0,0,0,0.19743463595225719
78600,14,958.59960641710416,0,0,0,0.19743463595225719
78900,19,958.59960641710416,0,0,0,0.19743463595225719
79200,0,958.59960641710416,0,0,0,0.19743463595225719
79500,5,958.59960641710416,0,0,0,0.19743463595225719
79800,10,958.59960641710416,0,0,0,0.19743463595225719
80100,15,958.59960641710416,0,0,0,0.19743463595225719
80400,20,958.59960641710416,0,0,0,0.19743463595225719
80700,1,958.59960641710416,0,0,0,0.19743463595225719
81000,6,958.59960641710416,0,0,0,0.19743463595225719
81300,11,958.59960641710416,0,0,0,0.19743463595225719
81600,16,958.59960641710416,0,0,0,0.19743463595225719
81900,21,958.59960641710416,0,0,0,0.19743463595225719
82200,2,958.59960641710416,0,0,0,0.19743463595225719
82500,7,958.59960641710416,0,0,0,0.19743463595225719
82800,12,958.59960641710416,0,0,0,0.19743463595225719
83100,17,958.59960641710416,0,0,0,0.19743463595225719
83400,22,958.59960641710416,0,0,0,0.19743463595225719
83700,3,958.59960641710416,0,0,0,0.19743463595225719
84000,8,958.59960641710416,0,0,0,0.19743463595225719
84300,13,958.59960641710416,0,0,0,0.19743463595225719
84600,18,958.59960641710416,0,0,0,0.19743463595225719
84900,23,958.59960641710416,0,0,0,0.19743463595225719
85200,4,958.59960641710416,0,0,0,0.19743463595225719
85500,9,958.59960641710416,0,0,0,0.19743463595225719
85800,14,958.59960641710416,0,0,0,0.19743463595225719
86100,19,958.59960641710416,0,0,0,0.19743463595225719
86400,0,958.59960641710416,0,0,0,0.19743463595225719
86700,5,958.59960641710416,0,0,0,0.19743463595225719
87000,10,958.59960641710416,0,0,0,0.19743463595225719
87300,15,958.59960641710416,0,0,0,0.19743463595225719
87600,20,958.59960641710416,0,0,0,0.19743463595225719
87900,1,958.59960641710416,0,0,0,0.19743463595225719
88200,6,958.59960641710416,0,0,0,0.19743463595225719
88500,11,958.59960641710416,0,0,0,0.19743463595225719
88800,16,958.59960641710416,0,0,0,0.19743463595225719
89100,21,958.59960641710416,0,0,0,0.19743463595225719
89400,2,958.59960641710416,0,0,0,0.19743463595225719
89700,7,958.59960641710416,0,0,0,0.19743463595225719
90000,12,958.59960641710416,0,0,0,0.19743463595225719
90300,17,958.59960641710416,0,0,0,0.19743463595225719
90600,22,958.59960641710416,0,0,0,0.19743463595225719
90900,3,958.59960641710416,0,0,0,0.19743463595225719
91200,8,958.59960641710416,0,0,0,0.19743463595225719
91500,13,958.59960641710416,0,0,0,0.19743463595225719
91800,18,958.59960641710416,0,0,0,0.19743463595225719
92100,23,958.59960641710416,0,0,0,0.19743463595225719
92400,4,958.59960641710416,0,0,0,0.19743463595225719
92700,9,958.59960641710416,0,0,0,0.19743463595225719
93000,14,958.59960641710416,0,0,0,0.19743463595225719
93300,19,958.59960641710416,0,0,0,0.19743463595225719
93600,0,958.59960641710416,0,0,0,0.19743463595225719
93900,5,958.59960641710416,0,0,0,0.19743463595225719
94200,10,958.59960641710416,0,0,0,0.19743463595225719
94500,15,958.59960641710416,0,0,0,0.19743463595225719
94800,20,958.59960641710416,0,0,0,0.19743463595225719
95100,1,958.59960641710416,0,0,0,0.19743463595225719
95400,6,958.59960641710416,0,0,0,0.19743463595225719
95700,11,958.59960641710416,0,0,0,0.19743463595225719
96000,16,958.59960641710416,0,0,0,0.19743463595225719
96300,21,958.59960641710416,0,0,0,0.19743463595225719
96600,2,958.59960641710416,0,0,0,0.19743463595225719
96900,7,958.59960641710416,0,0,0,0.19743463595225719
97200,12,958.59960641710416,0,0,0,0.19743463595225719
97500,17,958.59960641710416,0,0,0,0.19743463595225719
